No	GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
28	4689	7.43e-78	1.93e-80	0.3596	-18.993.592	-68.306.021	174.62	NCF4	neutrophil cytosolic factor 4
29	6362	1.71e-77	4.58e-80	0.3612	-18.948.038	-68.432.273	115.86	CCL18	C-C motif chemokine ligand 18
30	9332	4.33e-77	1.20e-79	0.352	-18.897.235	-66.515.255	2000.63	CD163	CD163 molecule
31	29992	1.73e-76	4.98e-79	0.3718	-18.822.094	-69.986.954	642	PILRA	paired immunoglobin like type 2 receptor alpha
32	5175	2.24e-75	6.63e-78	0.3563	-18.684.397	-66.566.264	248.55	PECAM1	platelet and endothelial cell adhesion molecule 1
33	7940	4.77e-75	1.46e-77	0.3425	-1.864.238	-63.851.846	796.54	LST1	leukocyte specific transcript 1
34	84868	5.86e-75	1.85e-77	0.3207	-18.629.708	-59.741.014	488.69	HAVCR2	hepatitis A virus cellular receptor 2
35	54	6.60e-75	2.14e-77	0.3531	-18.621.799	-65.757.374	956.08	ACP5	acid phosphatase 5, tartrate resistant
36	6357	1.40e-74	4.68e-77	0.4199	-18.579.853	-78.016.369	1218.36	CCL13	C-C motif chemokine ligand 13
37	8832	1.72e-74	5.88e-77	0.369	-18.567.532	-68.507.734	267.5	CD84	CD84 molecule
38	10875	1.34e-72	4.73e-75	0.3766	-18.330.444	-69.025.532	443.42	FGL2	fibrinogen like 2
39	5724	2.53e-72	9.14e-75	0.382	-18.294.568	-69.879.097	550.89	PTAFR	platelet activating factor receptor
40	6347	2.57e-72	9.52e-75	0.2369	-1.829.237	-43.331.858	18235.47	CCL2	C-C motif chemokine ligand 2
41	1436	4.17e-72	1.58e-74	0.3514	-18.264.665	-64.182.779	779.02	CSF1R	colony stimulating factor 1 receptor
42	5376	4.89e-72	1.90e-74	0.1849	-18.254.632	-33.748.751	1311.25	PMP22	peripheral myelin protein 22
43	713	1.13e-71	4.49e-74	0.3631	-18.207.658	-66.116.515	256.39	C1QB	complement C1q B chain
44	5168	2.16e-71	8.79e-74	0.3602	-18.170.789	-65.446.494	136.7	ENPP2	ectonucleotide pyrophosphatase/phosphodiesterase 2
45	117289	5.73e-71	2.39e-73	0.3589	-18.115.877	-65.026.849	74.49	TAGAP	T cell activation RhoGTPase activating protein
46	199	7.92e-71	3.37e-73	0.3585	-18.096.898	-64.876.118	4693.6	AIF1	allograft inflammatory factor 1
47	963	2.75e-70	1.22e-72	0.3673	-18.025.766	-66.203.456	912.39	CD53	CD53 molecule
48	6556	2.75e-70	1.21e-72	0.3636	-18.026.297	-65.536.216	377.69	SLC11A1	solute carrier family 11 member 1
49	3059	6.45e-70	2.93e-72	0.3688	-17.977.431	-66.297.406	488.07	HCLS1	hematopoietic cell-specific Lyn substrate 1
50	153020	4.96e-68	2.30e-70	0.3893	-17.733.869	-69.032.009	165.38	RASGEF1B	RasGEF domain family member 1B
51	3101	6.26e-68	2.96e-70	0.3964	-17.719.677	-70.245.511	62.01	HK3	hexokinase 3
52	407977	1.24e-67	5.97e-70	0.2927	-17.680.069	-51.750.267	91.07	TNFSF12-TNFSF13	TNFSF12-TNFSF13 readthrough
53	1880	2.50e-67	1.23e-69	0.3766	-17.639.357	-66.436.808	278.04	GPR183	G protein-coupled receptor 183
54	2209	4.17e-67	2.08e-69	0.4037	-17.609.472	-7.108.671	129.35	FCGR1A	Fc gamma receptor Ia
55	10871	3.26e-66	1.66e-68	0.3601	-17.491.652	-62.989.485	84.96	CD300C	CD300c molecule
56	10261	5.72e-66	2.97e-68	0.3922	-17.458.507	-68.464.642	1294.84	IGSF6	immunoglobulin superfamily member 6
57	4360	6.17e-66	3.25e-68	0.4109	-17.453.221	-71.714.641	389.3	MRC1	mannose receptor C-type 1
58	4481	2.23e-65	1.20e-67	0.3801	-17.378.555	-66.057.847	451.22	MSR1	macrophage scavenger receptor 1
59	8741	2.89e-65	1.58e-67	0.2958	-17.362.835	-51.362.313	93.81	TNFSF13	TNF superfamily member 13
60	23428	3.42e-65	1.90e-67	0.3744	-17.352.146	-64.969.875	129.39	SLC7A8	solute carrier family 7 member 8
61	64092	5.29e-65	2.99e-67	0.3929	-17.326.154	-68.081.304	905.51	SAMSN1	SAM domain, SH3 domain and nuclear localization signals 1
62	9294	1.92e-64	1.10e-66	0.1627	-17.250.949	-28.058.736	369.5	S1PR2	sphingosine-1-phosphate receptor 2
63	2350	2.90e-64	1.69e-66	0.4069	-1.722.618	-70.097.267	510.56	FOLR2	folate receptor beta
64	6354	3.28e-64	1.98e-66	0.3909	-17.217.107	-67.304.213	8569.28	CCL7	C-C motif chemokine ligand 7
65	728	3.28e-64	1.96e-66	0.3635	-17.217.657	-62.590.606	177.65	C5AR1	complement C5a receptor 1
66	3903	6.76e-64	4.13e-66	0.3785	-17.174.412	-65.005.683	221.33	LAIR1	leukocyte associated immunoglobulin like receptor 1
67	5341	7.58e-64	4.70e-66	0.3897	-17.166.889	-66.901.856	728.36	PLEK	pleckstrin
68	1536	1.23e-63	7.71e-66	0.3869	-17.138.121	-6.631.583	970.14	CYBB	cytochrome b-245 beta chain
69	6503	5.05e-63	3.23e-65	0.4068	-17.054.698	-69.385.974	253.39	SLA	Src like adaptor
70	51338	5.29e-63	3.43e-65	0.3878	-17.051.114	-66.118.599	1252.57	MS4A4A	membrane spanning 4-domains A4A
71	6303	5.47e-63	3.59e-65	0.2008	-17.048.367	-34.231.446	5815.64	SAT1	spermidine/spermine N1-acetyltransferase 1
72	942	6.52e-63	4.35e-65	0.3977	-17.037.257	-67.749.087	601.12	CD86	CD86 molecule
73	5473	1.74e-62	1.18e-64	0.4366	-16.978.792	-74.128.152	4774.41	PPBP	pro-platelet basic protein
74	2212	3.63e-62	2.49e-64	0.3553	-16.934.912	-60.166.616	1147.06	FCGR2A	Fc gamma receptor IIa
75	55303	6.82e-62	4.73e-64	0.4296	-16.897.029	-72.597.056	580.49	GIMAP4	GTPase, IMAP family member 4
76	126364	1.09e-61	7.65e-64	0.3868	-16.868.693	-65.248.817	63.04	LRRC25	leucine rich repeat containing 25
77	313	1.98e-61	1.41e-63	0.3758	-16.832.447	-63.248.802	144.36	AOAH	acyloxyacyl hydrolase
78	2752	2.23e-61	1.61e-63	0.2118	-16.824.638	-35.629.604	7049.8	GLUL	glutamate-ammonia ligase
79	8477	2.43e-61	1.77e-63	0.366	-16.818.905	-61.555.112	353.72	GPR65	G protein-coupled receptor 65
80	2180	3.31e-61	2.45e-63	0.2698	-16.799.728	-45.331.695	377.19	ACSL1	acyl-CoA synthetase long chain family member 1
81	9404	1.10e-60	8.24e-63	0.2493	-16.727.673	-41.703.358	540.45	LPXN	leupaxin
82	3123	1.59e-60	1.20e-62	0.3221	-16.705.078	-53.802.072	548.12	HLA-DRB1	major histocompatibility complex, class II, DR beta 1
83	55577	2.10e-60	1.61e-62	0.1776	-16.687.702	-29.636.074	1159.84	NAGK	N-acetylglucosamine kinase
84	3071	2.29e-60	1.78e-62	0.4199	-16.681.824	-7.004.343	397.08	NCKAP1L	NCK associated protein 1 like
85	8804	8.41e-60	6.62e-62	0.2255	-16.603.123	-37.432.583	455.11	CREG1	cellular repressor of E1A stimulated genes 1
86	58475	1.70e-59	1.35e-61	0.429	-16.560.206	-71.038.013	846.24	MS4A7	membrane spanning 4-domains A7
87	4332	8.39e-59	6.76e-61	0.3974	-16.463.055	-65.421.648	1466.85	MNDA	myeloid cell nuclear differentiation antigen
88	6280	9.69e-59	7.89e-61	0.3793	-16.453.667	-62.409.306	282.7	S100A9	S100 calcium binding protein A9
89	6355	2.88e-58	2.38e-60	0.4396	-16.386.814	-72.032.181	17151.06	CCL8	C-C motif chemokine ligand 8
90	10326	5.53e-58	4.60e-60	0.359	-16.346.538	-58.692.169	147.19	SIRPB1	signal regulatory protein beta 1
91	10161	1.05e-57	8.87e-60	0.4381	-16.306.519	-71.432.315	504.41	LPAR6	lysophosphatidic acid receptor 6
92	53826	2.48e-57	2.11e-59	0.3307	-16.253.494	-53.752.876	226.65	FXYD6	FXYD domain containing ion transport regulator 6
93	6001	2.71e-57	2.33e-59	0.1262	-16.247.418	-20.510.715	320.22	RGS10	regulator of G protein signaling 10
94	10461	3.25e-57	2.82e-59	0.3926	-16.235.594	-63.747.124	66.46	MERTK	MER proto-oncogene, tyrosine kinase
95	11342	3.46e-57	3.05e-59	0.1347	-16.230.984	-21.865.485	1071.05	RNF13	ring finger protein 13
96	55016	1.25e-56	1.11e-58	0.2984	-16.151.232	-48.192.299	312.41	MARCHF1	membrane associated ring-CH-type finger 1
97	5791	2.28e-55	2.04e-57	0.3082	-1.597.074	-49.223.696	421.42	PTPRE	protein tyrosine phosphatase receptor type E
98	2517	4.32e-55	3.92e-57	0.3245	-15.930.035	-51.687.746	334.03	FUCA1	alpha-L-fucosidase 1
99	58191	1.77e-54	1.62e-56	0.2888	-15.840.999	-45.752.501	266.58	CXCL16	C-X-C motif chemokine ligand 16
100	9935	3.29e-54	3.04e-56	0.416	-15.801.382	-65.732.689	196.07	MAFB	MAF bZIP transcription factor B
101	5777	3.79e-54	3.54e-56	0.3184	-15.791.864	-50.283.228	327.04	PTPN6	protein tyrosine phosphatase non-receptor type 6
102	5788	7.20e-54	6.80e-56	0.4209	-15.750.674	-66.301.308	521.56	PTPRC	protein tyrosine phosphatase receptor type C
103	28959	7.68e-54	7.32e-56	0.4032	-15.745.943	-63.488.665	1363.54	TMEM176B	transmembrane protein 176B
104	284677	1.17e-53	1.12e-55	0.3811	-15.718.768	-59.906.026	121.86	SNHG28	small nucleolar RNA host gene 28
105	2217	1.74e-53	1.69e-55	0.2616	-15.692.776	-41.046.865	2031.09	FCGRT	Fc gamma receptor and transporter
106	7096	1.79e-53	1.76e-55	0.3025	-15.690.419	-47.459.849	145.49	TLR1	toll like receptor 1
107	962	2.75e-53	2.73e-55	0.4258	-15.662.537	-6.668.381	860.52	CD48	CD48 molecule
108	533	3.90e-53	3.89e-55	0.1046	-15.639.889	-16.354.146	1366.95	ATP6V0B	ATPase H+ transporting V0 subunit b
109	1997	4.43e-53	4.47e-55	0.1873	-15.631.165	-2.928.467	346.33	ELF1	E74 like ETS transcription factor 1
110	7941	5.91e-53	6.02e-55	0.4435	-15.612.125	-69.235.049	244.04	PLA2G7	phospholipase A2 group VII
111	4668	8.48e-53	8.71e-55	0.2435	-1.558.854	-37.955.234	149.29	NAGA	alpha-N-acetylgalactosaminidase
112	64581	3.96e-52	4.11e-54	0.3753	-15.489.152	-58.132.256	255.24	CLEC7A	C-type lectin domain containing 7A
113	79961	5.67e-52	5.93e-54	0.282	-15.465.502	-43.618.253	166.04	DENND2D	DENN domain containing 2D
114	1102	6.49e-52	6.85e-54	0.2851	-15.456.249	-44.072.545	192.66	RCBTB2	RCC1 and BTB domain containing protein 2
115	51714	8.19e-52	8.72e-54	0.0901	-15.440.659	-13.914.154	1507.29	SELENOT	selenoprotein T
116	2213	1.53e-51	1.65e-53	0.4222	-15.399.658	-65.024.857	713.75	FCGR2B	Fc gamma receptor IIb
117	79713	2.42e-51	2.62e-53	0.2331	-15.369.661	-35.827.469	203.54	IGFLR1	IGF like family receptor 1
118	23179	4.21e-51	4.60e-53	0.295	-15.333.034	-45.225.501	206.3	RGL1	ral guanine nucleotide dissociation stimulator like 1
119	79630	1.17e-50	1.29e-52	0.3064	-15.266.147	-46.775.296	380.96	C1orf54	chromosome 1 open reading frame 54
120	4046	1.17e-50	1.30e-52	0.3317	-15.265.627	-50.638.568	114.91	LSP1	lymphocyte specific protein 1
121	5552	1.88e-50	2.10e-52	0.2077	-15.234.003	-31.645.992	4127.53	SRGN	serglycin
122	1512	4.23e-50	4.77e-52	0.2452	-15.180.355	-37.218.323	257.58	CTSH	cathepsin H
123	10068	4.66e-50	5.31e-52	0.21	-15.173.357	-31.861.817	263.08	IL18BP	interleukin 18 binding protein
124	388325	5.42e-50	6.22e-52	0.3545	-15.162.999	-53.751.345	199.86	SCIMP	SLP adaptor and CSK interacting membrane protein
125	4354	1.18e-49	1.37e-51	0.2683	-15.111.176	-40.548.967	663.29	MPP1	MAGUK p55 scaffold protein 1
126	100506115	1.25e-49	1.46e-51	0.4275	-15.106.856	-645.825	230.41	PELATON	plaque enriched lncRNA in atherosclerotic and inflammatory bowel macrophage regulation
127	7097	3.70e-49	4.34e-51	0.3513	-15.034.791	-52.816.249	421.77	TLR2	toll like receptor 2
128	53831	4.78e-49	5.66e-51	0.4387	-15.017.256	-65.876.637	266.19	GPR84	G protein-coupled receptor 84
129	126014	1.06e-48	1.27e-50	0.4306	-14.963.768	-64.436.827	52.25	OSCAR	osteoclast associated Ig-like receptor
130	65220	1.51e-48	1.81e-50	0.2631	-14.939.907	-39.307.447	58.87	NADK	NAD kinase
131	64744	1.88e-48	2.28e-50	0.2641	-1.492.446	-39.412.815	140.81	SMAP2	small ArfGAP2
132	55803	2.09e-48	2.56e-50	0.3833	-14.916.983	-57.171.842	357.47	ADAP2	ArfGAP with dual PH domains 2
133	200315	2.33e-48	2.86e-50	0.4062	-14.909.381	-60.566.711	672.8	APOBEC3A	apolipoprotein B mRNA editing enzyme catalytic subunit 3A
134	719	3.18e-48	3.94e-50	0.3693	-14.888.059	-54.974.941	2041.87	C3AR1	complement C3a receptor 1
135	284021	3.92e-48	4.89e-50	0.1982	-14.873.577	-29.481.983	201.62	MILR1	mast cell immunoglobulin like receptor 1
136	259307	5.14e-48	6.48e-50	0.3513	-14.854.805	-52.187.721	478.12	IL4I1	interleukin 4 induced 1
137	11006	7.00e-48	8.87e-50	0.4391	-14.833.693	-65.130.045	428.86	LILRB4	leukocyte immunoglobulin like receptor B4
138	951	1.65e-47	2.10e-49	0.4185	-14.775.605	-61.842.384	806.64	CD37	CD37 molecule
139	2710	1.87e-47	2.41e-49	0.1974	-14.766.571	-29.142.738	86.73	GK	glycerol kinase
140	1234	1.91e-47	2.47e-49	0.4245	-14.764.702	-62.681.662	154.44	CCR5	C-C motif chemokine receptor 5
141	1535	2.31e-47	3.01e-49	0.1106	-14.751.386	-1.631.081	1939.04	CYBA	cytochrome b-245 alpha chain
142	4245	3.80e-47	5.00e-49	0.1825	-14.717.204	-26.852.976	163.69	MGAT1	alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase
143	22797	3.80e-47	5.03e-49	0.4159	-14.716.818	-61.210.066	181.4	TFEC	transcription factor EC
144	105375378	6.85e-47	9.13e-49	0.1616	-14.676.401	-23.719.049	28.26	LOC105375378	uncharacterized LOC105375378
145	112770	1.07e-46	1.44e-48	0.1647	-14.645.511	-24.115.048	1250.66	GLMP	glycosylated lysosomal membrane protein
146	3055	1.51e-46	2.04e-48	0.4497	-14.621.848	-6.575.914	110.31	HCK	HCK proto-oncogene, Src family tyrosine kinase
147	6643	1.53e-46	2.08e-48	0.1318	-14.620.454	-19.271.362	1774.68	SNX2	sorting nexin 2
148	537	5.00e-46	6.85e-48	0.1489	-14.539.122	-21.644.726	280.62	ATP6AP1	ATPase H+ transporting accessory protein 1
149	3127	7.12e-46	9.81e-48	0.4797	-14.514.455	-69.628.247	254.8	HLA-DRB5	major histocompatibility complex, class II, DR beta 5
150	55640	1.23e-45	1.71e-47	0.4232	-1.447.645	-61.267.455	52.41	FLVCR2	FLVCR heme transporter 2
151	51170	1.51e-45	2.11e-47	0.1698	-14.461.965	-24.555.415	563.88	HSD17B11	hydroxysteroid 17-beta dehydrogenase 11
152	1545	2.53e-45	3.56e-47	0.3824	-14.425.904	-55.164.902	234.66	CYP1B1	cytochrome P450 family 1 subfamily B member 1
153	140885	3.43e-45	4.85e-47	0.3461	-14.404.446	-49.853.116	121.51	SIRPA	signal regulatory protein alpha
154	100049587	3.69e-45	5.25e-47	0.4315	-14.398.962	-62.127.635	46.01	SIGLEC14	sialic acid binding Ig like lectin 14
155	79890	3.94e-45	5.65e-47	0.2847	-14.393.945	-40.979.985	33.18	RIN3	Ras and Rab interactor 3
156	11025	8.57e-45	1.24e-46	0.3758	-14.339.582	-53.890.504	110.27	LILRB3	leukocyte immunoglobulin like receptor B3
157	3113	1.03e-44	1.50e-46	0.3936	-14.326.357	-56.393.195	1328.13	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1
158	9445	1.84e-44	2.69e-46	0.1597	-14.285.525	-22.814.326	733.84	ITM2B	integral membrane protein 2B
159	9938	2.65e-44	3.90e-46	0.3772	-14.259.675	-53.784.958	184.66	ARHGAP25	Rho GTPase activating protein 25
160	9308	2.99e-44	4.43e-46	0.3121	-14.250.771	-44.475.745	160.69	CD83	CD83 molecule
161	2630	4.11e-44	6.12e-46	0.1175	-14.228.256	-16.721.028	357.75	GBAP1	glucosylceramidase beta pseudogene 1
162	8649	4.23e-44	6.35e-46	0.1077	-1.422.567	-15.323.029	445.55	LAMTOR3	late endosomal/lysosomal adaptor, MAPK and MTOR activator 3
163	6414	7.50e-44	1.13e-45	0.3668	-14.185.167	-52.037.551	718.22	SELENOP	selenoprotein P
164	105369519	7.61e-44	1.16e-45	0.4523	-14.183.748	-64.152.269	93.69	LOC105369519	uncharacterized LOC105369519
165	2629	1.18e-43	1.80e-45	0.1289	-14.152.739	-1.824.409	528.46	GBA1	glucosylceramidase beta 1
166	64747	1.37e-43	2.11e-45	0.2584	-14.141.434	-3.653.826	316.8	MFSD1	major facilitator superfamily domain containing 1
167	1318	3.06e-43	4.74e-45	0.1949	-140.844	-27.450.853	198.06	SLC31A2	solute carrier family 31 member 2
168	6404	3.30e-43	5.13e-45	0.339	-14.078.759	-47.721.234	103.13	SELPLG	selectin P ligand
169	391	4.49e-43	7.02e-45	0.1462	-14.056.572	-20.555.379	173.92	RHOG	ras homolog family member G
170	2885	4.76e-43	7.49e-45	0.1727	-14.052.019	-24.263.428	455.56	GRB2	growth factor receptor bound protein 2
171	55843	5.20e-43	8.23e-45	0.4719	-14.045.287	-6.627.765	126.13	ARHGAP15	Rho GTPase activating protein 15
172	80820	5.67e-43	9.03e-45	0.3549	-1.403.874	-49.820.674	46.77	EEPD1	endonuclease/exonuclease/phosphatase family domain containing 1
173	6646	5.97e-43	9.57e-45	0.1712	-14.034.646	-24.022.122	468.63	SOAT1	sterol O-acyltransferase 1
174	1514	6.38e-43	1.03e-44	0.2303	-14.029.582	-32.304.814	3740.38	CTSL	cathepsin L
175	5580	7.62e-43	1.23e-44	0.2285	-14.016.605	-32.034.393	51.45	PRKCD	protein kinase C delta
176	26175	8.10e-43	1.32e-44	0.1667	-14.011.822	-23.358.522	260.37	LYSET	lysosomal enzyme trafficking factor
177	55788	4.63e-42	7.58e-44	0.1593	-13.887.158	-2.211.592	399.81	LMBRD1	LMBR1 domain containing 1
178	11031	5.37e-42	8.85e-44	0.1935	-13.876.005	-26.843.328	480.43	RAB31	RAB31, member RAS oncogene family
179	1075	5.72e-42	9.47e-44	0.2216	-1.387.117	-30.737.375	4850.48	CTSC	cathepsin C
180	9654	9.52e-42	1.59e-43	0.2911	-13.834.128	-40.276.383	185.83	TTLL4	tubulin tyrosine ligase like 4
181	7905	9.64e-42	1.61e-43	0.0894	-13.832.863	-12.367.105	1280.57	REEP5	receptor accessory protein 5
182	952	1.60e-41	2.70e-43	0.5087	-13.795.888	-70.177.082	171.81	CD38	CD38 molecule
183	1230	2.23e-41	3.78e-43	0.4035	-13.771.526	-55.573.936	795.96	CCR1	C-C motif chemokine receptor 1
184	53	4.04e-41	6.88e-43	0.2157	-13.728.176	-29.607.478	211.58	ACP2	acid phosphatase 2, lysosomal
185	958	4.65e-41	7.96e-43	0.3342	-13.717.645	-45.845.295	201.02	CD40	CD40 molecule
186	11309	5.34e-41	9.19e-43	0.3692	-13.707.262	-50.601.543	253.81	SLCO2B1	solute carrier organic anion transporter family member 2B1
187	3115	5.42e-41	9.37e-43	0.4	-13.705.787	-54.820.681	367.84	HLA-DPB1	major histocompatibility complex, class II, DP beta 1
188	64115	6.95e-41	1.21e-42	0.2174	-13.687.311	-29.751.398	94.92	VSIR	V-set immunoregulatory receptor
189	7351	1.19e-40	2.09e-42	0.2139	-13.647.566	-29.194.067	735.79	UCP2	uncoupling protein 2
190	10184	1.37e-40	2.41e-42	0.2478	-1.363.716	-3.379.054	162.77	LHFPL2	LHFPL tetraspan subfamily member 2
191	51816	2.24e-40	3.96e-42	0.4129	-13.600.901	-56.158.509	319.51	ADA2	adenosine deaminase 2
192	11188	2.49e-40	4.43e-42	0.2419	-13.592.561	-32.878.676	62.64	NISCH	nischarin
193	100996842	4.25e-40	7.59e-42	0.3227	-13.553.128	-43.734.187	1428.19	LOC100996842	uncharacterized LOC100996842
194	7305	4.59e-40	8.24e-42	0.4179	-13.547.106	-56.608.184	1772.19	TYROBP	transmembrane immune signaling adaptor TYROBP
195	50856	4.89e-40	8.82e-42	0.4647	-13.542.139	-62.927.469	163.52	CLEC4A	C-type lectin domain family 4 member A
196	84418	5.23e-40	9.48e-42	0.1199	-13.536.803	-16.236.541	1766.34	CYSTM1	cysteine rich transmembrane module containing 1
197	3417	7.06e-40	1.29e-41	0.1943	-13.514.359	-26.253.085	2005.15	IDH1	isocitrate dehydrogenase (NADP(+)) 1
198	50999	1.90e-39	3.48e-41	0.1196	-13.440.898	-16.080.238	376.95	TMED5	transmembrane p24 trafficking protein 5
199	9061	4.83e-39	8.90e-41	0.1667	-13.371.273	-22.291.085	323.73	PAPSS1	3'-phosphoadenosine 5'-phosphosulfate synthase 1
200	100287042	8.19e-39	1.52e-40	0.1864	-13.331.622	-24.846.494	184.45	MIF4GD-DT	MIF4GD divergent transcript
201	8763	9.39e-39	1.75e-40	0.1011	-13.320.997	-1.347.095	1863.42	CD164	CD164 molecule
202	427	9.75e-39	1.82e-40	0.2844	-13.317.821	-37.881.539	1780.54	ASAH1	N-acylsphingosine amidohydrolase 1
203	7462	1.17e-38	2.19e-40	0.3914	-13.303.995	-52.073.972	159.44	LAT2	linker for activation of T cells family member 2
204	219972	1.24e-38	2.34e-40	0.4551	-1.329.926	-60.529.092	290.55	MPEG1	macrophage expressed 1
205	9517	1.58e-38	3.01e-40	0.3307	-13.280.434	-4.391.764	323.8	SPTLC2	serine palmitoyltransferase long chain base subunit 2
206	3687	1.74e-38	3.31e-40	0.3576	-13.273.226	-47.460.418	144.15	ITGAX	integrin subunit alpha X
207	2359	1.78e-38	3.41e-40	0.4604	-13.270.966	-610.956	577.77	FPR3	formyl peptide receptor 3
208	64114	3.27e-38	6.29e-40	0.1594	-13.224.992	-21.074.857	202.82	TMBIM1	transmembrane BAX inhibitor motif containing 1
209	712	4.52e-38	8.75e-40	0.447	-13.200.208	-58.998.592	465.24	C1QA	complement C1q A chain
210	7456	4.93e-38	9.58e-40	0.3172	-13.193.351	-41.851.851	83.65	WIPF1	WAS/WASL interacting protein family member 1
211	9034	5.91e-38	1.16e-39	0.3792	-1.317.926	-4.998.042	200.82	CCRL2	C-C motif chemokine receptor like 2
212	101928228	6.94e-38	1.36e-39	0.4756	-13.166.884	-62.622.644	191.83	LOC101928228	uncharacterized LOC101928228
213	26090	7.59e-38	1.50e-39	0.16	-13.159.688	-21.049.841	111.21	ABHD12	abhydrolase domain containing 12, lysophospholipase
214	91860	8.28e-38	1.64e-39	0.1749	-13.152.767	-23.005.043	31.87	CALML4	calmodulin like 4
215	527	8.97e-38	1.78e-39	0.1469	-13.146.392	-19.308.363	42.82	ATP6V0C	ATPase H+ transporting V0 subunit c
216	105369388	9.13e-38	1.82e-39	0.3387	-13.144.713	-4.452.496	53.48	LOC105369388	uncharacterized LOC105369388
217	55819	1.73e-37	3.48e-39	0.2039	-13.095.888	-26.701.574	227.29	RNF130	ring finger protein 130
218	8021	1.89e-37	3.81e-39	0.1553	-13.088.879	-20.326.179	235.13	NUP214	nucleoporin 214
219	10788	1.96e-37	3.98e-39	0.3445	-13.085.622	-45.078.029	98.2	IQGAP2	IQ motif containing GTPase activating protein 2
220	79624	2.30e-37	4.68e-39	0.1237	-13.073.269	-16.171.961	463.74	ARMT1	acidic residue methyltransferase 1
221	60386	2.37e-37	4.85e-39	0.1899	-13.070.568	-24.825.375	194.77	SLC25A19	solute carrier family 25 member 19
222	11320	2.66e-37	5.46e-39	0.3451	-1.306.161	-45.076.484	63.49	MGAT4A	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A
